T_MeV,muB_MeV,P_over_T4,I_over_T4,s_over_T3,e_over_T4,nB_over_T3,CV_over_T3,cs2,phi_u,phi_d,phi_s,Phi,PhiBar,solve_residual,a1,a2,T0_MeV
156,0,0.631592363007,3.59939725919,6.12576671122,5.49417434821,0,50.1607396642,0.122122734876,-1.21321868407,-1.21321868407,-2.39756549629,0.606290150434,0.606290150434,4.52812672862e-16,-7.505272994,0.091848942829,175.695929622
158,0,0.678849376218,3.81870914042,6.53410664529,5.85525726907,0,51.7140492636,0.126350706207,-1.10492946653,-1.10492946653,-2.36944115387,0.624831011131,0.624831011131,9.42400403082e-16,-7.505272994,0.091848942829,175.695929622
160,0,0.72817410281,4.01965808029,6.93235449153,6.20418038872,0,51.7280250531,0.134015448771,-0.988976372149,-0.988976372149,-2.34060193982,0.642219923682,0.642219923682,3.95029712482e-16,-7.505272994,0.091848942829,175.695929622
162,0,0.779175960545,4.18463312441,7.30133696659,6.52216100604,0,50.1762143201,0.145513906649,-0.872993877979,-0.872993877979,-2.312772301,0.65791271691,0.65791271691,3.77151783885e-16,-7.505272994,0.091848942829,175.695929622
164,0,0.831294764915,4.30280192952,7.62798098918,6.79668622427,0,47.8191531677,0.159517274646,-0.7653304772,-0.7653304772,-2.28734981079,0.671638177897,0.671638177897,1.3160915654e-12,-7.505272994,0.091848942829,175.695929622
166,0,0.88393059059,4.37509957646,7.91082193882,7.02689134823,0,45.5461159984,0.173688178792,-0.6711245107,-0.6711245107,-2.26477091805,0.683518769556,0.683518769556,9.81750701508e-13,-7.505272994,0.091848942829,175.695929622
168,0,0.93656938869,4.41022670382,8.15650425858,7.21993486989,0,43.7940259216,0.186246961474,-0.591427293436,-0.591427293436,-2.24468093465,0.693903033174,0.693903033174,7.87306019049e-13,-7.505272994,0.091848942829,175.695929622
170,0,0.988832327874,4.41841743462,8.37374674612,7.38491441824,0,42.6053618588,0.196542087211,-0.524854722024,-0.524854722024,-2.22643909553,0.703158588885,0.703158588885,3.64994215511e-13,-7.505272994,0.091848942829,175.695929622
172,0,1.0404653032,4.40822515978,8.5700863726,7.52962106939,0,41.8708689269,0.204678971138,-0.469251226488,-0.469251226488,-2.2094375349,0.711579367963,0.711579367963,1.43396878753e-13,-7.505272994,0.091848942829,175.695929622
174,0,1.09130855785,4.38590774466,8.75114197605,7.6598334182,0,41.4653467417,0.21104711919,-0.422527135536,-0.422527135536,-2.19319950189,0.719376169244,0.719376169244,5.46680874706e-14,-7.505272994,0.091848942829,175.695929622
176,0,1.14126788084,4.35580446016,8.92087598354,7.7796081027,0,41.2888399738,0.216060223276,-0.382927194217,-0.382927194217,-2.17737650966,0.726694636571,0.726694636571,2.12133823516e-14,-7.505272994,0.091848942829,175.695929622
178,0,1.19029299664,4.32086757734,9.0820395639,7.89174656726,0,41.2699686685,0.220064125487,-0.34905480065,-0.34905480065,-2.16171933677,0.733634984604,0.733634984604,8.53374928011e-15,-7.505272994,0.091848942829,175.695929622
180,0,1.23836265008,4.28309725354,9.23654785387,7.99818520379,0,41.3596609782,0.223322620046,-0.31981951008,-0.31981951008,-2.14604977431,0.740266967056,0.740266967056,4.37575873282e-15,-7.505272994,0.091848942829,175.695929622
182,0,1.28547461062,4.24384995839,9.38574840086,8.10027379024,0,41.5244662351,0.226029356951,-0.294372534526,-0.294372534526,-2.13023915887,0.746640055579,0.746640055579,1.83539400378e-15,-7.505272994,0.091848942829,175.695929622
184,0,1.33163901791,4.20404677312,9.53060284476,8.19896382685,0,41.7414750657,0.228324534046,-0.272050337708,-0.272050337708,-2.1141933323,0.752790117487,0.752790117487,1.27467358253e-15,-7.505272994,0.091848942829,175.695929622
186,0,1.37687393924,4.16431215235,9.6718079093,8.29493397006,0,41.9948289486,0.230309496465,-0.252330191082,-0.252330191082,-2.09784239387,0.758743767449,0.758743767449,1.00892626912e-15,-7.505272994,0.091848942829,175.695929622
188,0,1.42120238491,4.12506650569,9.80987604533,8.38867366042,0,42.2734033294,0.232057872627,-0.234796517352,-0.234796517352,-2.08113375884,0.764521221282,0.764521221282,1.94695180605e-16,-7.505272994,0.091848942829,175.695929622
190,0,1.46465029014,4.08658848838,9.94518964895,8.48053935881,0,42.5692826966,0.23362361353,-0.219115757648,-0.219115757648,-2.06402743812,0.770138190366,0.770138190366,7.0737697044e-16,-7.505272994,0.091848942829,175.695929622
192,0,1.50724514363,4.04905738583,10.0780379603,8.5707928167,0,42.8767535203,0.235046665918,-0.205017643123,-0.205017643123,-2.04649280106,0.775607157807,0.775607157807,9.989966605e-16,-7.505272994,0.091848942829,175.695929622
194,0,1.54901505356,4.01258230537,10.2086425196,8.65962746605,0,43.1916331775,0.236356946208,-0.192281185731,-0.192281185731,-2.0285063331,0.780938251595,0.780938251595,6.91779034309e-16,-7.505272994,0.091848942829,175.695929622
196,0,1.58998811275,3.97722252381,10.3371749748,8.74718686206,0,43.5108175589,0.237577125753,-0.180724127681,-0.180724127681,-2.01005006638,0.786139851407,0.786139851407,1.70526494162e-16,-7.505272994,0.091848942829,175.695929622
198,0,1.63019197019,3.94300183115,10.4637697119,8.83357774173,0,43.8319722367,0.238724592528,-0.170194930008,-0.170194930009,-1.99111047057,0.791219016775,0.791219016775,1.5105054239e-15,-7.505272994,0.091848942829,175.695929622
200,0,1.66965354635,3.90991874703,10.5885329324,8.91887938607,0,44.1533189478,0.23981284272,-0.160566635181,-0.160566635181,-1.97167766205,0.796181793706,0.796181793706,3.81664790451e-16,-7.505272994,0.091848942829,175.695929622
202,0,1.70839884913,3.87795386487,10.7115492614,9.00315041225,0,44.4734861508,0.240852476126,-0.151732122986,-0.151732122986,-1.95174483539,0.801033437399,0.801033437399,1.8079634775e-15,-7.505272994,0.091848942829,175.695929622
204,0,1.74645286082,3.84707517439,10.8328866177,9.08643375686,0,44.7914032171,0.241851914422,-0.143600410836,-0.143600410836,-1.93130785178,0.805778576271,0.805778576271,1.49909419073e-15,-7.505272994,0.091848942829,175.695929622
206,0,1.78383947505,3.81724194596,10.9525998462,9.16876037112,0,45.1062247175,0.242817924017,-0.136093743717,-0.136093743717,-1.91036493884,0.810421334386,0.810421334386,1.08381838373e-15,-7.505272994,0.091848942829,175.695929622
208,0,1.82058146905,3.78840758228,11.0707334585,9.25015198943,0,45.4172757279,0.243755999915,-0.129145286371,-0.129145286371,-1.88891646981,0.814965424053,0.814965424053,3.64923833171e-16,-7.505272994,0.091848942829,175.695929622
210,0,1.85670050079,3.76052172219,11.1873237254,9.33062322456,0,45.7240119918,0.244670649797,-0.122697278682,-0.122697278682,-1.86696479928,0.819414216786,0.819414216786,1.85324374394e-16,-7.505272994,0.091848942829,175.695929622
212,0,1.89221712352,3.73353179883,11.3024002929,9.41018316938,0,46.0259907043,0.245565605866,-0.116699550306,-0.116699550306,-1.84451413897,0.823770798391,0.823770798391,1.14854481105e-15,-7.505272994,0.091848942829,175.695929622
214,0,1.92715081218,3.70738419729,11.415987446,9.48883663384,0,46.3228489686,0.246443983913,-0.111108316129,-0.111108316129,-1.82157046124,0.828038012305,0.828038012305,5.47409886784e-16,-7.505272994,0.091848942829,175.695929622
216,0,1.96151999806,3.68202511652,11.5281051087,9.56658511069,0,46.6142878479,0.247308403517,-0.105885192953,-0.105885192953,-1.79814142136,0.832218494145,0.832218494145,2.19984004153e-15,-7.505272994,0.091848942829,175.695929622
218,0,1.99534210856,3.65740121218,11.6387696464,9.64342753787,0,46.900060532,0.248161079419,-0.100996391696,-0.100996391696,-1.77423629165,0.836314699617,0.836314699617,6.14714445721e-16,-7.505272994,0.091848942829,175.695929622
220,0,2.02863361043,3.63346007633,11.7479945181,9.71936090762,0,47.1799635495,0.24900389136,-0.0964120498562,-0.0964120498562,-1.74986590218,0.840328927377,0.840328927377,8.02899314112e-16,-7.505272994,0.091848942829,175.695929622
222,0,2.06141005464,3.61015059556,11.8557908141,9.79438075948,0,47.4538302432,0.249838437769,-0.0921056767495,-0.0921056767495,-1.72504258415,0.844263338,0.844263338,4.4554119174e-16,-7.505272994,0.091848942829,175.695929622
